Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Yassine Bono,1,1,0,0,0,0,0,0,0,0,0,0,0,86.7,,1,girona,local
Bernardo Espinosa,-,-,0,0,0,0,0,1,1,1,2,0,0,92.2,,1,girona,local
Juanpe Ramírez,-,-,0,0,0,0,0,1,3,4,1,0,1,90,,1,girona,local
Marc Muniesa,-,-,1,0,2,0,0,1,1,2,0,1,2,87.3,,1,girona,local
Pedro Porro,-,-,0,0,6,1,1,1,0,0,3,2,0,86.4,,1,girona,local
Álex Granell,-,-,1,0,11,4,1,4,2,1,0,4,2,81,,1,girona,local
Cristian Portu,-,-,2,0,3,2,1,2,3,0,0,2,1,61.1,,1,girona,local
Borja García,-,-,3,0,3,0,0,7,0,2,0,3,2,76.4,,1,girona,local
David Timor  73',-,-,1,0,0,0,0,1,0,2,2,0,0,88.2,,1,girona,local
Aleix García  61',-,-,1,1,2,0,0,0,0,0,0,0,0,87.8,,1,girona,local
Christian Stuani  80',-,-,3,0,0,0,0,2,5,0,0,0,1,70.6,,1,girona,local
Jordi Masip,2,0,0,0,0,0,0,0,0,0,0,0,0,26.3,,1,valladolid,visitante
Kiko Olivas,-,-,0,0,0,0,0,3,2,2,2,0,0,88.5,,1,valladolid,visitante
Javi Moyano,-,-,0,0,2,0,0,0,1,0,0,0,0,65,,1,valladolid,visitante
Fernando Calero,-,-,0,0,0,0,0,1,2,1,1,0,0,77.8,,1,valladolid,visitante
Nacho Martínez,-,-,0,0,4,1,0,0,1,4,3,2,1,60,,1,valladolid,visitante
Keko Gontán,-,-,1,0,2,0,0,4,0,1,0,0,0,84.6,,1,valladolid,visitante
Toni Villa  87',-,-,0,0,2,0,2,3,2,1,6,5,0,64.7,,1,valladolid,visitante
Anuar Mohamed  70',-,-,0,0,0,0,0,0,4,0,2,0,0,47.4,,1,valladolid,visitante
Rubén Alcaraz,-,-,1,1,5,1,0,3,3,0,0,0,1,77.1,,1,valladolid,visitante
Borja Fernández,-,-,0,0,0,0,0,0,3,1,2,0,0,65.5,,1,valladolid,visitante
Christopher Ramos  63',-,-,0,0,0,0,0,2,2,0,1,0,0,30,,1,valladolid,visitante
Pau López,1,0,0,0,0,0,0,0,0,0,0,0,0,90,,2,betis,local
Zou Feddal,-,-,2,0,1,0,0,1,2,3,1,0,2,90.8,,2,betis,local
Marc Bartra,-,-,0,0,0,0,0,1,0,1,2,1,0,95.5,,2,betis,local
Aissa Mandi,-,-,0,0,0,0,0,1,1,0,1,0,2,91,,2,betis,local
Junior Firpo,-,-,1,1,2,1,0,1,0,0,4,5,2,88.7,,2,betis,local
Ryad Boudebouz  62',-,-,5,1,2,0,0,1,0,1,0,1,1,88,,2,betis,local
Andrés Guardado,-,-,4,0,4,1,2,2,3,2,0,2,0,92.2,,2,betis,local
Francis Guerrero  73',-,-,0,0,6,0,0,1,0,1,2,1,2,91.5,,2,betis,local
William Carvalho  65',-,-,0,0,0,0,0,0,0,2,2,1,0,86.1,,2,betis,local
Sergio Canales,-,-,3,2,2,0,0,1,1,1,1,1,3,91.9,,2,betis,local
Loren Morón,-,-,4,3,1,0,1,0,0,0,0,2,1,82.4,,2,betis,local
Oier Olazábal,8,0,0,0,0,0,0,0,0,0,0,0,0,27.6,,2,levante,visitante
Toño García,-,-,0,0,2,0,1,0,0,0,0,5,0,60.9,,2,levante,visitante
Chema Rodríguez,-,-,0,0,0,0,0,0,1,2,0,0,1,72.7,,2,levante,visitante
Sergio Postigo,-,-,0,0,0,0,0,0,0,1,1,0,0,53.8,,2,levante,visitante
Coke Andújar,-,-,0,0,1,0,1,0,2,3,1,0,0,73.3,,2,levante,visitante
Cheick Doukouré  67',-,-,0,0,0,0,0,0,1,1,0,1,0,55.6,,2,levante,visitante
Enis Bardhi,-,-,0,0,3,1,0,0,3,2,3,0,1,80,,2,levante,visitante
José Luis Morales,-,-,3,3,0,0,1,3,1,2,0,3,1,92.3,,2,levante,visitante
